role,company,location,date_posted,min_experience,employment_type,category,remote,details,tags,ad_link
.NET Software Engineer,Plutus Analytics,Αθήνα,πριν 9 ώρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Μηχανικοί,Εργασία από απόσταση κάποιες ημέρες,"['Key Responsibilities:', 'Key Responsibilities:', 'Develop and maintain back-end services using .NET Core 8+, C#, and VB.NET.', 'Build interactive, responsive front-end UIs using Blazor, Bootstrap.', 'Design and interact with relational databases, particularly SQL Server.', 'Collaborate with cross-functional teams to define, design, and implement new features.', 'Write unit tests to ensure reliability and maintainability of code', 'Participate in code reviews and help improve team standards and development practices', 'Technical Skills Required:', 'Technical Skills Required:', 'Proficient in .NET Core, C#, and VB.NET.', 'Experience building RESTful Web APIs.', 'Solid understanding of Blazor for front-end development.', 'Familiarity with Bootstrap, and Tailwind CSS.', 'Strong knowledge of SQL Server and database design principles.', 'Qualifications:', 'Qualifications:', '2–5 years of experience in a similar role.', 'BSc and MSc in Computer Science, Software Engineering, or a related field, or equivalent practical experience.', 'Proven experience developing full-stack web applications.', 'Good problem-solving skills and attention to detail.', 'Ability to work independently and collaboratively in a team.', 'Nice to Have:', 'Nice to Have:', 'Experience with DevOps pipelines and CI/CD tools.', 'Familiarity with cloud platforms (e.g., Azure or AWS).', 'Exposure to AI or machine learning techniques, such as working with ML libraries (e.g., ML.NET, TensorFlow, or Python-based tools), or integrating intelligent features into applications.', 'A public GitHub portfolio or other demonstrable code samples that show contributions, coding style, and project experience.', 'Why Join Us?', 'Why Join Us?', ""We are a fintech company with a strong passion for delivering tailored solutions that streamline our customers' day-to-day operations. Our team embraces agile methodologies, encouraging continuous improvement, collaboration, and rapid iteration to meet evolving business needs. You'll be part of a dynamic environment where innovation is encouraged, and your contributions have a real impact."", 'We offer a hybrid work model, combining the flexibility of remote work with the benefits of in-person collaboration, and provide a competitive remuneration package that reflects your skills and experience.']","['.net', 'microsoft .net desktop developer', 'blazor', 'c#', 'software developer', 'software engineer']",https://www.kariera.gr/en/jobs/engineering-jobs/226752
Java Software Engineer,Netcompany-Intrasoft,Πάτρα,πριν 7 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Java', 'Software Engineer', 'Java', 'Software Engineer', ',', 'global clients in exciting and challenging markets', 'As a Java', 'Software Engineer you will:', 'Design, develop and maintain back-end of large web-based Java EE applications', 'web-based Java EE', 'Participate in the technical analysis, documentation, implementation, and integration of robust applications', 'technical analysis', 'documentation', 'implementation', 'integration', 'Test and manage early life support of core software tools and assets produced in the context of software development projects', 'What would make you a fit for the role:', 'Degree in Computer Science, Software Engineering or a related discipline', 'Experience in\nJEE applications\nSQL\nRESTful and SOAP web-services', 'JEE applications', 'SQL', 'RESTful and SOAP web-services', 'Excellent communication skills', 'Good interpersonal skills, adaptability and team spirit', 'Fluency in English', 'It would also be a plus if you match some of the following:', 'Experience in Spring/Spring boot', 'Experience in JPA or Hibernate', 'Experience in Apache Kafka or RabbitMQ', 'Experience in NoSQL', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/174700?origin=pjp
"Lead Software Engineer (Spring, Spring Boot)",Netcompany-Intrasoft,Αθήνα,πριν 7 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Lead', 'Software Engineer (Spring, Spring Boot', 'Lead', 'Software Engineer (Spring, Spring Boot', ',', 'global clients in exciting and challenging markets', 'As a Lead Software Engineer (Spring, Spring Boot', 'you will:', 'Design, develop and maintain back-end of large web-based Spring applications with microservices architecture', 'web-based Spring applications with microservices architecture', 'Work with Kubernetes, Docker, Spring, Spring Boot', 'Kubernetes, Docker, Spring, Spring Boot', 'Participate in the technical analysis, documentation and implementation of robust applications', 'technical analysis', 'documentation and', 'implementation', 'Test and manage early life support of core software tools and assets produced in the context of software development projects', 'Provide leadership and guidance to software engineers, serving as a mentor and role model in their professional development', 'leadership', 'guidance', 'mentor', 'What would make you a fit for the role:', 'Degree in Computer Science, Software Engineering or a related discipline', 'Experience in\nJava\nSpring Framework\nSpring Boot\nDocker', 'Java', 'Spring Framework', 'Spring Boot', 'Docker', 'Excellent communication skills', 'Good interpersonal skills, adaptability, and team spirit', 'Fluency in English', 'It would also be a plus if you match some of the following:', 'Familiarity with Kubernetes', 'Knowledge of Apache Kafka', 'Experience in React', 'Familiarity with Liquibase', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal and commuting allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/181854?origin=pjp
"Lead Software Engineer (Spring, Spring Boot)",Netcompany-Intrasoft,Πάτρα,πριν 7 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Lead', 'Software Engineer (Spring, Spring Boot', 'Lead', 'Software Engineer (Spring, Spring Boot', ',', 'global clients in exciting and challenging markets', 'As a Lead Software Engineer (Spring, Spring Boot', 'you will:', 'Design, develop and maintain back-end of large web-based Spring applications with microservices architecture', 'web-based Spring applications with microservices architecture', 'Work with Kubernetes, Docker, Spring, Spring Boot', 'Kubernetes, Docker, Spring, Spring Boot', 'Participate in the technical analysis, documentation and implementation of robust applications', 'technical analysis', 'documentation and', 'implementation', 'Test and manage early life support of core software tools and assets produced in the context of software development projects', 'Provide leadership and guidance to software engineers, serving as a mentor and role model in their professional development', 'leadership', 'guidance', 'mentor', 'What would make you a fit for the role:', 'Degree in Computer Science, Software Engineering or a related discipline', 'Experience in\nJava\nSpring Framework\nSpring Boot\nDocker', 'Java', 'Spring Framework', 'Spring Boot', 'Docker', 'Excellent communication skills', 'Good interpersonal skills, adaptability, and team spirit', 'Fluency in English', 'It would also be a plus if you match some of the following:', 'Familiarity with Kubernetes', 'Knowledge of Apache Kafka', 'Experience in React', 'Familiarity with Liquibase', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/181852?origin=pjp
Frontend developer / Software engineer (JavaScript/Vue),P-A-Systems,Ιωάννινα,πριν 8 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,Εργασία απο απόσταση,"['Develop with us!', 'Develop with us!', 'The CBSI Team is looking for a full-time team member as “Middle+/Senior (JS/Vue) for IT (AI) projects”. We are an IT and service consulting company for AI and Software Engineering for our customers in Europe. The main industries: we work in are Recycling, Production, Finance, Insurance and Healthcare. In our team we have united all specialist areas for software development (frontend, backend, design and project management) which will support you with any questions.', 'Your advantages with us:', 'Your advantages with us:', 'active in a wide range of industries and therefore offer work on inspiring projects where no two are the same', 'working in a young, motivated and international team', 'flat hierarchies and quick decisions for a straightforward working environment', 'home office as well as on-site work in our office in Ioannina', 'flexible working time in coordination with your project team', 'use of state-of-the-art tools and methods (MS365, YouTrack, GitLab, Docker, Kubernetes)', 'Your tasks:', 'Your tasks:', 'technical development exercises', 'Implementing layout provided by designers in Figma', 'user interface development according to the requirements of the project', 'integration of APIs from backend servers or third parties to retrieve and process data for display', 'responsibility for the documentation of the projects', 'estimating the effort required for various tasks with the support of experienced project managers', 'technical back-office exercises to support the Senior Consultants', 'Your profile:', 'Your profile:', 'upper intermediate or higher in English, intermediate/fluent in German (preferred but not mandatory)', 'university degree, preferably in natural sciences, engineering, or informatics', 'knowledge of cross-browser responsive layout using HTML5, CSS3, Tailwindcss 3', 'knowledge of JS (ES6+)', 'experience developing in Vue.js 2, Vue.js 3, Nuxt and Nuxt3 from 3 years', 'experience with data processing, APIs, components, hooks', 'experience with Vuex, Pinia, Vue Router and other Vue ecosystems incl. composition API', 'experience in design with Figma is encouraged', 'experience in working with software projects and understanding of reactive programming principles and component-oriented architecture, with Composition API in mind', 'experience with Git']","['vue.js', 'nuxt 3', 'vue 3', 'js', 'english', 'tailwind', 'plotly', 'git', 'frontender', 'frontend', 'senior frontender']",https://www.kariera.gr/en/jobs/it-jobs/224572
Internship in Software Development,Netcompany-Intrasoft,Αθήνα,πριν 17 μέρες,,Πλήρης απασχόληση,Άλλη κατηγορία,,"['agile', 'highly skilled SW Development teams', 'design, develop, deploy, customize, and support', 'various industries', 'As an intern in Software Development you will:', 'Work within an agile team that designs, develops, and maintains web applications by using technologies such as Java, Spring, Spring boot, Angular, React, etc.', 'designs, develops,', 'maintains', 'Java, Spring, Spring boot, Angular, React, etc', 'Perform a full range of programming tasks using a variety of web and application-based programming technologies and languages, keeping current with new programming techniques', 'full range of programming tasks', 'new programming techniques', 'Develop and maintain code and application libraries, instructions, and technical documentation', 'Participate in peer code reviews', 'code reviews', 'Be up to date, learn and gain experience in new technology stacks.', 'Current student status at BSc or MSc degree in Computer Science or other relevant fields', 'Current student status', 'Eligibility to attend an internship program through your university or academic institution', 'Eligibility to attend an internship program through your university or academic institution', 'Very good knowledge of the English language (written and oral)', 'An analytical mind with problem-solving abilities', 'Self-motivated and eager to learn new technologies', 'Excellent interpersonal and teamwork skills', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/other-jobs/186164?origin=pjp
"Mid-Senior Software Engineer (Spring, Spring Boot)",Netcompany-Intrasoft,Αθήνα,πριν 7 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Software Engineer (Spring, Spring Boot', 'Software Engineer (Spring, Spring Boot', ',', 'global clients in exciting and challenging markets', 'As a Software Engineer (Spring, Spring Boot', 'you will:', 'Design, develop and maintain back-end of large web-based Spring applications with microservices architecture', 'web-based Spring applications with microservices architecture', 'Work with Kubernetes, Docker, Spring, Spring Boot', 'Kubernetes, Docker, Spring, Spring Boot', 'Participate in the implementation process of robust applications', 'implementation', 'Test and manage early life support of core software tools and assets produced in the context of software development projects', 'What would make you a fit for the role:', 'Degree in Computer Science, Software Engineering or a related discipline', 'Experience in\nJava\nSpring Framework\nSpring Boot\nDocker', 'Java', 'Spring Framework', 'Spring Boot', 'Docker', 'Excellent communication skills', 'Good interpersonal skills, adaptability and team spirit', 'Fluency in English', 'It would also be a plus if you match some of the following:', 'Familiarity with Kubernetes', 'Knowledge of Apache Kafka', 'Experience in React', 'Familiarity with Liquibase', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal and commuting allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/173737?origin=pjp
Software Test Analyst,Netcompany-Intrasoft,Αθήνα,πριν 7 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Develop a deep understanding of the business logic for the system under test', 'Evaluate the testability of the requirements', 'Define the test strategy to be followed', 'Determine the testing scope and identify the test objectives/priorities', 'Create and maintain the tests and test data', 'Execute tests with manual, semi-automated or automated methods (for functional and non-functional test activities)', 'Track the test outputs and monitor their resolution', 'Verify error corrections', 'Prepare test analysis reporting with a clear view on the qualitative status, and risks of the system under test', 'Participate in various Agile ceremonies', 'Demonstrate the system under test or the test procedure followed', 'Degree in Computer Science or another relevant field', 'Working experience in software testing', 'Proficient in web services technologies (XML, SOAP, WSDL)', 'Experience with POSTMAN and/or SOAP UI tools', 'Knowledge of Unix, SQL', 'Fluency in English with solid verbal and written communication skills', 'Strong analytical and problem-solving skills', 'Knowledge of State Transition Diagrams, BPMN, UML', 'Knowledge of automation test technologies', 'ISTQB, PSM I', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal and commuting allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/174305?origin=pjp
Angular Front-End Software Engineer,Relational,Αθήνα,πριν 7 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,Εργασία από απόσταση κάποιες ημέρες,"['Αt Relational FS we know that companies with a strong positive culture perform so much better. That is why every day we strive to create a collaborative and inclusive working environment where our people can feel empowered to succeed.', 'Relational FS has an opportunity available, to work on complex and challenging new products, to drive transformative change for our top-tier Financial Services clients. Be part of both Product and Discipline teams through our Product-Chapter Matrix and develop state-of-the-art software products in the former, and an ever-evolving engineering culture in the latter.', 'Responsibilities', 'Work closely with a business analysts’ team and stakeholders to design and implement the best solutions.', 'Follow industry’s best practices and standards.', 'Test and deliver high-quality software.', 'Essential Qualifications', 'Excellent English communication (both verbal and written).', 'Familiarity with Agile methodologies.', 'Bachelor’s degree in Computer Science or other relevant field.', 'Experience in building SPAs with Angular.', 'Experience in Typescript.', 'Experience in building rich responsive/adaptive web UIs with HTML5 and CSS3.', 'Extensive experience in consuming REST APIs and in REST principles.', 'Desired Qualifications', 'Experience with state management tools (e.g. NGRX, NGXS, Akita, Redux).', 'Familiarity with version control software tools (preferably Git).', 'Familiarity with CSS preprocessors (e.g. Sass, LESS).', 'Familiarity with CSS frameworks (e.g. primeng, tailwind).', 'What Does our tech stack look like?', 'At Relational FS, we pride ourselves on adaptability and keeping up with the latest technologies. Our current tech stack looks like this', 'Angular,Typescript, PrimeNG, TailWind', 'Figma', '.NET C#', 'Azure DevOps CI/CD, Git', 'Kubernetes, Docker, Harbor', 'Why work with us?', ""Relational FS is one of Greece's leading technology software companies, with a mission to provide our clients with innovative, scalable, and secure software solutions that enhance their business performance and customer satisfaction. Through matrix organizational structure we achieve cross-functional collaboration which helps to increase efficiency, innovation, and responsiveness to changing markets. Along with that we introduced a software coaching/mentoring scheme which provides guidance, feedback, and support to software engineers or learners who want to improve their skills, knowledge, and performance."", 'You will collaborate with experienced and talented people, who will inspire you, mentor you, and help you grow. You will also have access to numerous resources, tools, and facilities that will enable you to do your best work.', 'As an equal opportunity employer, we celebrate diversity and are committed to creating an inclusive environment for all employees.', 'Our company is people - centric and offers personalized benefits to each employee:', 'We want you to be well compensated for what you bring in, so we offer an attractive salary package', 'Your health matters to us, so all colleagues have a private health insurance plan from day one', 'Developer’s fuel is coffee, and the supply source is in our kitchen!', 'We are excited for challenges, so you are invited to take part in exciting projects', 'We love the Relational vibes so we gather on smaller and bigger occasions to celebrate good times together!', ""Relational Financial Solutions adheres to the General Data Protection Regulation principles by applying its Privacy Policy as published in https://www.relationalfs.com/legal-information/pri.... By submitting an application to this position and by sharing your personal data with Relational Financial Solutions you acknowledge and accept its Policy and authorise Relational Financial Solutions to process your personal data for the purposes of the company's recruitment opportunities, in line to the Policy.""]","['development', 'developer', 'athens', 'coding', 'frontend', 'seo principles', 'angular', 'typescript', 'προγραμματιστης', 'rest apis', 'html5', 'αθηνα', 'agile methodologies', 'agile', 'frontend developer', 'senior front-end software engineer', 'senior front-end engineer', 'senior front-end', 'front-end engineer', 'senior front-end software engineer athens', 'css3', 'ui/ux design', 'front-end developer', 'frontend development', 'αθηνα προγραμματισμος', 'unit tests', 'angular 2+']",https://www.kariera.gr/en/jobs/it-jobs/225067?origin=pjp
Τεχνικός Υποστήριξης Hardware & Software,AMCO SA,Μοσχάτο,πριν 5 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Τεχνικός Υποστήριξης Hardware & Software', 'Τεχνικός Υποστήριξης', 'Hardware', '&', 'Software', 'Η εταιρεία μας:', 'Η εταιρεία μας:', 'Η εταιρεία μας, ηγέτιδα στον χώρο της τεχνολογίας, προσφέρει ολοκληρωμένες λύσεις αυτοματισμού υψηλής τεχνολογίας και υλοποιεί σύνθετα έργα πληροφορικής και επικοινωνιών. Αναζητούμε έναν δυναμικό και καταρτισμένο Τεχνικό Υποστήριξης Hardware & Software για να ενταχθεί στην ομάδα μας.', 'Καθήκοντα:', 'Καθήκοντα:', 'Εγκατάσταση, συντήρηση και επισκευή ηλεκτρονικού εξοπλισμού (hardware) τόσο σε περιβάλλον γραφείου όσο και στο πεδίο.', 'Υποστήριξη πελατών και επίλυση τεχνικών προβλημάτων σε hardware και software.', 'Παρακολούθηση συστημάτων και εφαρμογών με χρήση εργαλείων παρακολούθησης για εξασφάλιση ομαλής λειτουργίας 24/7.', 'Ανάλυση σφαλμάτων και επίλυση προβλημάτων σε περιβάλλοντα Linux και Windows.', 'Επιτόπια τεχνική υποστήριξη και εκπαίδευση πελατών σε Ελλάδα και εξωτερικό.', 'Τήρηση διαδικασιών και καταγραφή προβλημάτων και λύσεων μέσω ticketing συστήματος.', 'Απαραίτητα Προσόντα:', 'Απαραίτητα Προσόντα:', 'Τεχνική κατάρτιση σε Ηλεκτρονική, Πληροφορική ή σχετικό πεδίο.', 'Εμπειρία στη διαχείριση και συντήρηση συστημάτων hardware και υποστήριξη εφαρμογών software.', 'Ικανότητες ανάλυσης σφαλμάτων και debugging σε συστήματα Linux και Windows.', 'Εμπειρία στην υποστήριξη πελατών και την επίλυση τεχνικών προβλημάτων.', 'Εξαιρετικές επικοινωνιακές δεξιότητες.', 'Δίπλωμα οδήγησης.', 'Γνώσεις ηλεκτρολογίας θα θεωρηθούν επιπλέον προσόν.', 'Τι Προσφέρουμε:', 'Τι Προσφέρουμε:', 'Σταθερή και πλήρη απασχόληση με κυλιόμενο ωράριο που περιλαμβάνει βάρδιες και ενδεχόμενη εργασία τα Σαββατοκύριακα.', 'Φιλικό και δυναμικό περιβάλλον εργασίας με δυνατότητες ανάπτυξης.', 'Ευκαιρίες επαγγελματικής εξέλιξης σε μια συνεχώς αναπτυσσόμενη εταιρεία.']","['hardware', 'software', 'technical support', 'linux', 'windows', 'software debugging']",https://www.kariera.gr/en/jobs/it-jobs/225615
Software Support Representative,Megasoft,Περιστέρι,πριν 23 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Απαιτούμενα προσόντα:', 'Απαιτούμενα προσόντα:', 'Πτυχίο ΑΕΙ-ΤΕΙ στην Επιστήμη των Υπολογιστών ή της Πληροφορικής στα Οικονομικά, στα Χρηματοοικονομικά, στη Λογιστική ή σε συναφείς τομείς', 'Εμπειρία σε θέσεις υποστήριξης εφαρμογών λογισμικού', 'Η προϋπηρεσία σε λογιστικό γραφείο θα θεωρηθεί σημαντικό προσόν', 'Ομαδικό πνεύμα και διάθεση συνεργασίας', 'Κύριες αρμοδιότητες:', 'Κύριες αρμοδιότητες', ':', 'Εγκατάσταση παραμετροποίηση και εκπαίδευση χρηστών στις εφαρμογές', 'Υποστήριξη πελατών & συνεργατών', 'Συνεργασία για υλοποίηση νέων δυνατοτήτων και διαχειρίσεων', 'Τι σου προσφέρουμε:', 'Τι σου προσφέρουμε', ':', 'Εκπαίδευση πάνω στα πιο σύγχρονα τεχνολογικά εργαλεία', 'Ανταγωνιστικές απολαβές με bonus παραγωγικότητας', 'Ιδιωτική ασφάλιση', 'Διατακτικές σίτισης Up Hellas', 'Σύγχρονο περιβάλλον εργασίας', 'Πιστοποίηση πάνω στις εφαρμογές PRISMA Win', 'Σεβασμό στον προσωπικό χρόνο']","['software support', 'erp support', 'erp helpdesk']",https://www.kariera.gr/en/jobs/it-jobs/221121
Java Software Engineer,Netcompany-Intrasoft,Αθήνα,πριν 7 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Java', 'Software Engineer', 'Java', 'Software Engineer', ',', 'global clients in exciting and challenging markets', 'As a Java', 'Software Engineer you will:', 'Design, develop and maintain back-end of large web-based Java EE applications', 'web-based Java EE', 'Participate in the technical analysis, documentation, implementation, and integration of robust applications', 'technical analysis', 'documentation', 'implementation', 'integration', 'Test and manage early life support of core software tools and assets produced in the context of software development projects', 'What would make you a fit for the role:', 'Degree in Computer Science, Software Engineering or a related discipline', 'Experience in\nJEE applications\nSQL\nRESTful and SOAP web-services', 'JEE applications', 'SQL', 'RESTful and SOAP web-services', 'Excellent communication skills', 'Good interpersonal skills, adaptability and team spirit', 'Fluency in English', 'It would also be a plus if you match some of the following:', 'Experience in Spring/Spring boot', 'Experience in JPA or Hibernate', 'Experience in Apache Kafka or RabbitMQ', 'Experience in NoSQL', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal and commuting allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/181865?origin=pjp
Software Engineer (Java),ΙΝΤΡΑΛΟΤ Α.Ε.,Αθήνα,πριν 10 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Join INTRALOT as a Software Engineer (Java)!', 'Java Developer', 'modern technologies and microservices', ""What you'll be doing:"", 'Contributing to the development and evolution of critical backend systems that support our applications and services.', 'critical backend systems', 'Developing and maintaining web applications in a microservices environment.', 'web applications', 'microservices environment', 'Writing clean, efficient, and well-documented code.', 'clean, efficient, and well-documented code', 'Collaborating with the team to analyze requirements and design solutions.', 'analyze requirements and design solutions', 'Supporting internal and external customers when needed.', 'internal and external customers', 'Keeping up with the latest technologies and best practices.', 'latest technologies and best practices', ""What we're looking for:"", 'Degree in Computer Science, Software Engineering, or a related field.', 'Degree', '3+ years of experience in Java development.', '3+ years of experience', ""We work with Java 17 and are migrating to Java 21 - so you'll have the opportunity to work with the latest technologies!"", 'Java 17', 'Java 21', 'latest technologies', 'Experience with Spring Boot (currently using 2.6).', 'Spring Boot (currently using 2.6)', 'Understanding of RESTful APIs and microservices architecture.', 'RESTful APIs', 'Knowledge of multithreading programming and testing frameworks (JUnit).', 'multithreading programming', 'JUnit', 'Experience with databases (MySQL) and ORM frameworks (Hibernate).', 'databases (MySQL) and ORM frameworks (Hibernate)', 'Familiarity with Source Control (GIT, SVN) and Build Tools (Maven).', 'Source Control (GIT, SVN)', 'Build Tools (Maven)', 'Knowledge or experience with Kubernetes, Docker, and Kafka.', 'Kubernetes, Docker, and Kafka', 'Team player with strong problem-solving skills!', 'Team player with strong problem-solving skills!', 'About Us: INTRALOT', 'Why Join Us:']",[],https://www.kariera.gr/en/jobs/it-jobs/162615
Call for Talents - Junior Software Engineers,Netcompany-Intrasoft,Πάτρα,πριν 25 μέρες,,Πλήρης απασχόληση,Ανθρώπινο Δυναμικό,,"['Ever wondered what it feels like to be a Junior Software Engineer in Netcompany-Intrasoft?', 'agile', 'highly skilled SW Product Development teams', 'design, develop, deploy, customize, test, and support', 'various industries', 'backend, frontend, full-stack, DevOps, or automation testing SW Engineers', 'As a Junior Software Engineer you will:', 'Work within an agile team that designs, develops, tests, and maintains web applications by using technologies such as Java, Spring, Spring boot, Microservices Architecture, Angular, React, Docker, Kafka, Kubernetes, Selenium, Cucumber, etc.', 'designs, develops, tests,', 'maintains', 'Java, Spring, Spring boot, Microservices Architecture, Angular, React, Docker, Kafka, Kubernetes, Selenium, Cucumber, etc', 'Perform a full range of complex programming tasks using a variety of web and application-based programming technologies and languages, keeping current with new programming techniques', 'full range of complex programming tasks', 'new programming techniques', 'Develop and maintain code and application libraries, instructions, and technical documentation', 'Collaborate with team members to understand requirements and propose solutions', 'understand requirements', 'propose solutions', 'Participate in peer code reviews', 'code reviews', 'Be up to date, learn and gain experience in new technology stacks.', 'What would make you a fit for the role:', 'Degree in Computer Science, Software Engineering or other relevant disciplines', 'Familiarity with at least one of the below (Java, Spring, Spring boot, Microservices Architecture, Angular, React, Docker, Kafka, Kubernetes, Selenium and Cucumber)', 'Excellent command of the English language (written & oral)', 'It would also be a plus if you match some of the following:', 'Knowledge of:\nweb technologies including HTML5, CSS3, JavaScript frameworks\ndatabase concepts and SQL programming', 'web technologies including HTML5, CSS3, JavaScript frameworks', 'database concepts and SQL programming', 'Experience with Source Control(GIT, Subversion) and Build Tools (Maven).', 'Source Control', 'Build Tools', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal and commuting allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/human-resources-jobs/220812?origin=pjp
